sentiment,airline,negative_reason,text
0,united,Lost Luggage,occur guys hours extra delay hours
0,united,Late Flight,delays today hoping 26pm flight boards
0,united,Flight Booking Problems,website fucked flight shouldâ yesterday today
0,united,Customer Service Issue,called hold issue confirmation number email paid
0,united,Flight Attendant Complaints,help flight experience terrible planes dirty staff rude start
0,united,Customer Service Issue,check haven paid called hold minutes answered hung
0,united,Customer Service Issue,hold minutes finally retook form payment confirmed reservation
0,united,Flight Booking Problems,bought ticket yesterday received confirmation check hadn paid called
0,united,Late Flight,delayed salt floor previous passengers care shoes ua649
0,united,Customer Service Issue,profit damn paying customers
0,united,Flight Attendant Complaints,didn nice
0,united,Bad Flight,seat international connection seriously
4,united,,couple minutes great service flight pass team flight
0,united,Lost Luggage,lost ahold help
0,united,Cancelled Flight,delete return ticket europe blame airline joke times happened times
0,united,Customer Service Issue,united flight arrives late flight told rebook connecting united flight characterize
4,united,,agents service weekend trip amazing
0,united,Can't Tell,flying united worst experience
0,united,Late Flight,funds broken plane runway
0,united,Lost Luggage,direct message follow luggage
0,united,Flight Attendant Complaints,flight 5903 stranded tarmac chicago gates plane uncomfortable
0,united,Late Flight,rebooked disappointed wait start vacation fares united notch service
0,united,Customer Service Issue,direct messages going help
0,united,Flight Booking Problems,adding reservation doesn desktop site logged miles redeemed upgrades
0,united,Cancelled Flight,assume people united worse plane crew
0,united,Customer Service Issue,pushing hours hold priceless
4,united,,will
0,united,Customer Service Issue,read thread booked class seated united twtr account confirmed premium
0,united,Lost Luggage,ua6016053916 update explain occurred arrived hours flight
0,united,Late Flight,free hotel stay honalulu hour delayua53 will second flight kauai
0,united,Can't Tell,solution
0,united,Late Flight,screwing flights bother flights leave time cancelled flighted
0,united,Customer Service Issue,agents check
0,united,Flight Attendant Complaints,work incredibly unfriendly ground staff false promises twitter
4,united,,
0,united,Cancelled Flight,skilled staff inadequate system deleted return houston norway shoulder shrugging
4,united,,dependable airline western hemisphere belong star alliance skyteam
0,united,Flight Attendant Complaints,severely staffed
4,united,,amazing hospitality helpfulness anthony lastella great staff âœˆï flying
0,united,Late Flight,delay vacation buzzkill
4,united,,touched miami nicely united
0,united,Customer Service Issue,enjoying sunday hold hour better client experience needed
0,united,Bad Flight,broken light mins bridge gate airplane parked wrong bathroom emptied night airline
0,united,Bad Flight,appreciate response pressurization failure flight 1109 responding serious issues
4,united,,comfortable waiting luggage
0,united,Late Flight,guys didn hour delay honolulu houston train wreck issues coming
4,united,,
4,united,,finally helpful appreciate
0,united,Flight Attendant Complaints,flight gates held mins
0,united,Damaged Luggage,form photo burst luggage correct blame customer
0,united,Lost Luggage,luggage
0,united,Flight Attendant Complaints,boarding time ua3882 crewe
4,united,,effort earliest will complaint refund losing business tomorrow
0,united,longlines,person working entire security checkpoint
4,united,,
0,united,Late Flight,authors fiction heard radio jetway secured
0,united,Cancelled Flight,showing realise morning flight cancelled flightled pricey evening
0,united,Lost Luggage,lost tracking system stinks delivery system
0,united,Late Flight,feeling true united customer stuck tarmac unitedfail
0,united,Late Flight,leadership counts landed nightdeplaned minutes waiting jetway inexcusable
0,united,Customer Service Issue,requested heard address issue brought explain happened
0,united,Flight Attendant Complaints,employee faceless throw starts management miler company
0,united,Late Flight,flight pulled departs mins boarding hasn started
0,united,Cancelled Flight,understand change problem plane weather understand
0,united,Cancelled Flight,hours late flightr answers stuck houston phantom flights apeared
0,united,Late Flight,guys horrible stuck snow sitting 30min gate
0,united,Cancelled Flight,hotel voucher flight delayed cancelled flightled delayed hours counting
0,united,Lost Luggage,request response
4,united,,worked reply
0,united,Customer Service Issue,hour delay plane visible airport terrible customer service
0,united,Late Flight,hour maintenance delay wasn enuf charge global service platinum shit
0,united,Cancelled Flight,week maintenance issues flat tire flight week cancelled flighted track record worst
0,united,Customer Service Issue,customer service experience will tweeted quality assurance
0,united,Cancelled Flight,spend money tickets update planes flight maintenance issue
0,united,Cancelled Flight,chance help rebook flight cancelled flightled
0,united,Cancelled Flight,better system handling cancelled flightled flights
0,united,Customer Service Issue,inappropriate passengers induce accepting voucher telling availability late flightr
0,united,Lost Luggage,direct number call lost baggage
0,united,Cancelled Flight,involuntarily bumped passenger guarantee flight three days
0,united,Customer Service Issue,follow guidelines bumping acceptable voucher fare
0,united,Cancelled Flight,rebook will appointments london tomorrow morning ruining trip
0,united,Late Flight,newest delay
0,united,Customer Service Issue,seats honor shouldnt spend phone hear seats
0,united,Customer Service Issue,hold book award flight site errors agents platinum availability badbadbad
0,united,Can't Tell,joke lots angry people
0,united,Customer Service Issue,completely unacceptable seat class passenger middle seat premium economy
0,united,Customer Service Issue,flight offered flight voucher lose seat neglect
4,united,,nicole quito airport great care week handled lost baggage seat changes professional nice
0,united,Late Flight,will deiced wasn planes sitting night
0,united,Customer Service Issue,service agents hung third flight today three calls hours flight
0,united,Late Flight,delayed days fingers crossed connection albany
0,united,Bad Flight,class joke compared flown extra peanuts allowed
0,united,Customer Service Issue,connection overnight layovers vouchers connection confirmed
4,united,,leaving year flight laxiad
0,united,Damaged Luggage,baggage damage number well great thing trained staff number claim time
0,united,Flight Attendant Complaints,will serious email issues arose vacation staff will post
0,united,Can't Tell,fully boarding flight 1689 morning noticing pilots
0,united,longlines,long wait icing cake reservation system confirm doesn changed midtravel
0,united,Cancelled Flight,guys suck cancelled flighted flight flight issue
0,united,Can't Tell,lies
0,united,Customer Service Issue,wouldn real nice love awesome service people working customer service
0,united,Late Flight,hour delay finally flight tired
4,united,,
0,united,Can't Tell,
0,united,Late Flight,flight delayed hours lost wallet money sleep representatives will help
0,united,Bad Flight,lost loyal customers mileage card holders driven florida quicker ways worst trip
0,united,Late Flight,board will time
0,united,Customer Service Issue,sleeping terminal wasn worst situation told passengers sleep baggage claim
0,united,Late Flight,deice plane sits hours delay
0,united,Can't Tell,fuck caring
0,united,Can't Tell,days clarify policy seats higher
4,united,,quick hear follow details transpired
0,united,Lost Luggage,lost belongings honest
0,united,Cancelled Flight,denver airport ready round today ready
0,united,Customer Service Issue,course morning nonstop yesterday
0,united,Customer Service Issue,minutes transferred spanish hotline unacceptable
0,united,Lost Luggage,lost luggage luggage denver will deliver luggage airport claim hdndl11785
0,united,Lost Luggage,united loses baggage will airport country disappears
0,united,Late Flight,wasting time money will arrive hours late flight destination
0,united,Lost Luggage,united checked baggage will find
0,united,Customer Service Issue,english spanish call locate resolve issue
0,united,Lost Luggage,overnight unknown location courier company contact
0,united,Can't Tell,helping buddies 30th bday guys trashy company
0,united,Customer Service Issue,frustrated conversations united speak spanish courier company
0,united,Can't Tell,mislead company times week united airlines
0,united,Can't Tell,united airlines
0,united,Late Flight,airport waiting flight
0,united,Lost Luggage,airline telling luggage hour destination days
0,united,Late Flight,operate ramp plane
4,united,,
4,united,,
0,united,Cancelled Flight,cancelled flights flight sends email flight
0,united,longlines,super computer pants lots cranky people reflight booking problems delaying checkins ontime direct flyers
0,united,Cancelled Flight,rebooked ua1764 3883 cancelled flightled paid class ticket seat
0,united,Can't Tell,checkin system trouble checking flight departs
0,united,longlines,fuck closed premier access lines gonna flight start treating customers better
0,united,Bad Flight,good luck noenertainmenton6hourflights strategy innovation work hello
0,united,Customer Service Issue,human contact mths cust relations refund dept problem humans talk
0,united,Bad Flight,clean ramps stuck snow newark happen
0,united,Cancelled Flight,understand weather issue airline maintenance sleep airport floor lose entire
4,united,,
0,united,Late Flight,flight delayed missing screw danger missing flight 6491
0,united,Customer Service Issue,hours minutes hold cancelled flightled flight changed delta
0,united,Cancelled Flight,finally cancelled flighted delay replacement flight leaves late flightr scheduled tomorrow cool
0,united,Flight Booking Problems,overbooked fifty people worst
0,united,Customer Service Issue,hold asia website customer service dont business korea
0,united,Customer Service Issue,easiest refund
0,united,Late Flight,help united paid economy flight changed delay will automatically refunded
0,united,Bad Flight,engineer designed door frame extend half foot plane seat forced
0,united,longlines,service work check bush airport customer service
0,united,Customer Service Issue,realize time asked needed help
0,united,Late Flight,delayed hour half prior scheduled departure
0,united,Customer Service Issue,phone customer service useless
0,united,Lost Luggage,lost flight didn time load hour delay consequence platinum gold
0,united,Cancelled Flight,late flightr delayed cancelled flightled flight gate seat assign lots standby waiting
0,united,Late Flight,flight ground time
4,united,,flying mess diego
0,united,Customer Service Issue,delayed customer service ua761
0,united,Bad Flight,wifi wasn working onboard alerted attendant socket hotel hours vouchers wifi hotel
0,united,Late Flight,flight luck
0,united,Can't Tell,will time
0,united,Can't Tell,weight restriction plane
4,united,,person houston flight routing newark going
0,united,Can't Tell,bish
0,united,Late Flight,conference hours night delays waiting talk lost luggage
0,united,Customer Service Issue,30am customer service scream
4,united,,reference number ind43728m
4,united,,lady helping luggage
0,united,Late Flight,flighted delayed hours 10pm arrival vegas seriously lose luggage
4,united,,agent care reply
4,united,,united airlines
0,united,Cancelled Flight,2100 ticket trvl wifi missed missed meeting food voucher hotel chkout wifi
0,united,Lost Luggage,missing luggage promised call call flight shanghai connecting flight
0,united,Cancelled Flight,cancelled flightled flight notification
0,united,Late Flight,international connection hoping thing
0,united,Late Flight,late flight reflight booking problems morning longer hotel room
0,united,Customer Service Issue,customer service providence airport horrible care customers making money
0,united,Cancelled Flight,cancelled flightled flight ua922 aircrft maintenance delayed hours refund options
0,united,Lost Luggage,mexico build house suitcase flight san68059m
0,united,Lost Luggage,standard reply
0,united,Customer Service Issue,told changed flight ottawa airport cant find reservation wrong
0,united,Bad Flight,worst flight experience vacation note
4,united,,epic service pleasure outstanding crew
0,united,Cancelled Flight,guess sleeping care customers sleep airports
0,united,Flight Attendant Complaints,concerns addressed
0,united,Lost Luggage,whereabouts unknown greeeaat
0,united,Late Flight,letting sleep ensure ruin vacation wait fuck
0,united,Customer Service Issue,sharing alright sleeping shitty airport sleep night
0,united,Customer Service Issue,assistance expect scooby tour terminals finds stuff
0,united,Lost Luggage,writing assist return lost clean feces sprinkled bathroom
0,united,Customer Service Issue,hung
0,united,Customer Service Issue,customer service team manilla absolute shit supervisor hold
0,united,Flight Attendant Complaints,disgusting unconscionable treatment received tonight
0,united,Customer Service Issue,course hepl kidding reason hold hours
0,united,Late Flight,time united flight delayed frustration
0,united,Customer Service Issue,kidding haven talked human robotweeting follow
0,united,Lost Luggage,wouldn describe feces sprinkled bathroom inconvenience help find baggage lost return
0,united,Customer Service Issue,fact treated disrespectfully lied members airline claims strive best
0,united,Lost Luggage,matters fact destination tremendous amount stress
0,united,Bad Flight,member broken seat broken broken light lost thnx ua922 awesome
0,united,Customer Service Issue,absolutely disgusting treat customers actively monitoring cust serve unreal
0,united,Can't Tell,nice wonder pick respond happy customers easier wonder left
0,united,Customer Service Issue,averaging minute wait times tonight help tonight
0,united,Customer Service Issue,minute wait times call 240minute wait times
0,united,Customer Service Issue,customer service unbelievably abysmal phone well 2hrs tonight hung
0,united,Bad Flight,read full story submit case team pilot flight 6232 sleeping
0,united,Late Flight,inconvenience weather delay pilot deciding waste time wouldn negligence
0,united,Flight Booking Problems,bought ticket price published mistake email indicates united cancelled flightled ticket
0,united,Bad Flight,plane wifi working entertainment existent seats seriously uncomfortable ua1550
0,united,Late Flight,missed mark tonight redeye chicago mess better
0,united,Late Flight,443min avoidable nonweather delays link better
0,united,Lost Luggage,luggage
0,united,Late Flight,left delayed
0,united,Can't Tell,screws expected
0,united,Bad Flight,allow families small children board flight will airline
4,united,,life goal complete
0,united,Cancelled Flight,flight cancelled flightled denver service agent offered salt lake denver atlanta hung
0,united,Can't Tell,called throwing loyalty window awards
0,united,Lost Luggage,unhelpful team bangkok chicago going accommodation arrives
0,united,Bad Flight,call going miles miles ticket cutting edge perk
0,united,Customer Service Issue,apology
4,united,,acknowledgment
0,united,Customer Service Issue,hold hours talk cancelled flighted flight tomorrow morning
0,united,Customer Service Issue,apology cool
0,united,Customer Service Issue,customers routinely screw
0,united,Lost Luggage,time solo female traveller pretty scary foreign place knowing belongings
0,united,Lost Luggage,bags wait hope arrive answers plans answers
0,united,Late Flight,knew wait airborne respond
0,united,Flight Attendant Complaints,missing flight attendant delayed flight prime example person impacts people ua252
0,united,Customer Service Issue,stranded texas hangs figure cool
0,united,Customer Service Issue,change flight three times phone disconnected time
0,united,Customer Service Issue,poor showing today assistance passengers connected maintenance waiting baggage
0,united,Can't Tell,showing tone deaf video years wifi coming leave
0,united,Late Flight,people stranded suck better weasel flight booking problems rooms people claiming weather
0,united,Late Flight,delta flights landed pilots claimed couldn 6232
4,united,,appreciation help
0,united,Bad Flight,sitting flight hour landing newark gate jetway operator seriously
0,united,Customer Service Issue,worst customer service experience minutes jetway plane tonight flight disappointed
0,united,Late Flight,hour delay double booked seat parked wrong gate incompetence finest waiting
0,united,Cancelled Flight,people tryn sleep airport shitty company comping rooms flight
0,united,Customer Service Issue,routing person houston newark acceptable
0,united,Can't Tell,freakin
0,united,Can't Tell,suck
0,united,Late Flight,minute hold
0,united,Can't Tell,flying continental united exclusively hates fl1289sfo
0,united,Customer Service Issue,things worked respond
0,united,Flight Booking Problems,screwed reservation assigned changed flight changed original
0,united,Customer Service Issue,hold progressed hour 9196750985
0,united,Can't Tell,suck
0,united,Can't Tell,website badly
0,united,Late Flight,gate ready gate agent going hour
0,united,Bad Flight,
0,united,Flight Booking Problems,fiasco outward trip rebooked qantas laxsyd miles account
0,united,Customer Service Issue,great callback agent disconnected hold waiting connectfor
0,united,Late Flight,good delayed flights plane waiting hours gate gate gate agent
0,united,Lost Luggage,luggage rerouted dulles currently nolo bags houston
0,united,Customer Service Issue,extremely disappointed service trip explorer card holder
0,united,Customer Service Issue,hope corporate office ready deal rage created shitty service bullshit pilots
4,united,,relaxing space drink flight global lounge
0,united,Lost Luggage,will vacation week lost bags ways clothes thankyou
0,united,Customer Service Issue,sadly mother nature investigate incident employees terrible customer experience
0,united,Late Flight,flight ua90 1750 delayed passengers flight aviv
0,united,Bad Flight,flight 1750 aviv cruel flight 350pm
0,united,Late Flight,considering stuck newark virtually sleep hours doubt hope rentals
4,united,,great flattering story
0,united,Customer Service Issue,airline sucks customer service sucks courtesy incompetent passengers matter fine
0,united,Cancelled Flight,expect cancelled flight flights tomorrow morning storm
0,united,Customer Service Issue,water refused service
0,united,Bad Flight,increase legroom airlines compare
0,united,Flight Booking Problems,zurich credit miles segs full fare
0,united,Bad Flight,6377 green tagged bags luggage carousel mess
0,united,Flight Attendant Complaints,lounge tells pillows grandma ladies opens closet
0,united,Late Flight,drunk threw flight ua936 4hrs better rest held 5hrs plane food
0,united,Late Flight,sitting denver airport waiting plane refueled hour half hurry fuck united fucking retards
0,united,Bad Flight,rebooked flight tomorrow class seat orig lousy coach seat
0,united,Flight Attendant Complaints,well missed mark snit minute stepped counter
0,united,Flight Attendant Complaints,compensates delays caused fact flight attendants
0,united,Late Flight,seating 5hrs inside flight ua936 delayed offered water cookies business class
0,united,Can't Tell,plane
0,united,Can't Tell,dropped layovers acceptable
0,united,Bad Flight,layover itinerary swapped layover itinerary
0,united,Late Flight,flight ua936 departed 45hrs late flight hours late flightr seating inside plane
0,united,Late Flight,completely flight changed july received notification
0,united,Cancelled Flight,wife destinations stuck monday bags
0,united,Lost Luggage,spoke baggage contact 1800 number will bags stay pick tmrw
0,united,Customer Service Issue,upgrade list ewrpdx priority weird email
4,united,,seats avail
0,united,Can't Tell,earned place worst airline business
0,united,Customer Service Issue,read cases define example case
0,united,Bad Flight,wifi ua1616 slow lagging hard stream
0,united,Can't Tell,tomorrow night hotel voucher higher rate travelocity loving cost hard working staff
0,united,Late Flight,flight ua1459 sitting newark waiting gate seriously flight
0,united,Can't Tell,print number ticket prescreen paid
0,united,Late Flight,boarding decent useless agents speak english 5hrs hold 6hrs mech delay
0,united,Cancelled Flight,flight cancelled flighted opportunity rebook flights evening passed
0,united,longlines,boarding faster boarded front front
0,united,Flight Attendant Complaints,desk attendant stated awhile clear lack communication norm
0,united,Can't Tell,suffering immensely merge hopefully
0,united,Bad Flight,plane
0,united,Late Flight,worst airlinegave three chances second time weeks flight delayed cancelled flightled mechanics
0,united,Bad Flight,cabin pressurization issues pretty serious flight 1109 landed washington head pounding
0,united,Flight Attendant Complaints,sandra international checkin counter rude offensive commented didn care complained 25yrs
0,united,Flight Attendant Complaints,contact stuff legally blind messed
0,united,Lost Luggage,mention plane luggage luggage going days
0,united,Customer Service Issue,times called customer services mins time operators call
0,united,Can't Tell,going cover room
0,united,Bad Flight,bumped flight worse
0,united,Can't Tell,speaks basically worst designed system
0,united,Flight Booking Problems,yeah times tickets told late flightr
0,united,Flight Attendant Complaints,fire captain flight 6232 today single handedly ruined passengers piece shit
0,united,Bad Flight,exactly hang hook
0,united,Cancelled Flight,flight cancelled flightled airport book invoices flight approx
0,united,Flight Attendant Complaints,hire pilots ruining trip allowing buddy turns
0,united,Customer Service Issue,airline rated worst america work treat customers garbage
0,united,Cancelled Flight,hotel broke student
0,united,Late Flight,standby houston tomorrow flights calgary help
0,united,Customer Service Issue,nightmare sides flights disaster houston attitude ticket counter
0,united,Can't Tell,terrible
0,united,Lost Luggage,eventually explained weather conditions extreme luggage planes will days
0,united,Customer Service Issue,read
4,united,,denver boarded fingers crossed
0,united,Bad Flight,unplanned landing pressurization failure worst pain felt thought going pass
0,united,Late Flight,flight takeoff time late flight wait baggage claim
0,united,Late Flight,hours point people plane
0,united,Customer Service Issue,customer service agent landed layovers kids
0,united,Lost Luggage,nope deliver
4,united,,upgrade company approve business class travel
0,united,Late Flight,delays help notifications
0,united,Late Flight,waiting
0,united,Late Flight,hoping spare 1171 tomorrow ship board sched aircraft delayed previous flts
4,united,,hubby skin teeth
0,united,Late Flight,incompetence stunning point hours plane hour nonstop flight
0,united,Lost Luggage,delay flight mechanical failure runway late flightr lost resolution
0,united,Can't Tell,worst
0,united,Late Flight,waiting
0,united,Can't Tell,reply clarify airfare intended peer group beer charge
0,united,Late Flight,lies lies lies sitting gate moved inch
0,united,Bad Flight,finally told front plane restrm row7 rows issue
0,united,Customer Service Issue,worse weather awful
0,united,longlines,told board wait emails telling delays
0,united,Bad Flight,additionally husband paid service stopped working halfway flight
0,united,Flight Attendant Complaints,didn asked staff help switch
0,united,Lost Luggage,baggage person told handling connecting flight
0,united,Customer Service Issue,weeks heard
0,united,Flight Booking Problems,well degree experience cancelled flighting miles card
4,united,,excited working guys
0,united,Customer Service Issue,haven left watch prepaid directtv
0,united,Customer Service Issue,team hold hour unhelpful answer question
0,united,Lost Luggage,find luggage
0,united,Late Flight,nope supposed leave gate pull deice
0,united,Lost Luggage,airport originally told
0,united,Late Flight,texted flight delayed traffic control pulled plane late flight
0,united,Customer Service Issue,minutes boarding sign gate agent help
0,united,Late Flight,website flight time leaves boarded
0,united,Late Flight,missed cnxn 2day strike belize family cnxn
0,united,Cancelled Flight,airline cancelled flightled flights tomorrow area
0,united,Cancelled Flight,hotel room cleveland minute cancelled flightled connecting flight booked united unimpressed
0,united,Customer Service Issue,ua3782 cancelled flightled waiting customer service
0,united,Late Flight,flight delayed hour mins transit extremely will
0,united,Late Flight,4595 going gate overheating sitting hours love united stinks
0,united,longlines,congratulations united fail gate plane full people waiting weather worse leave
0,united,Lost Luggage,leaving houston despite system definitely flight
0,united,Bad Flight,shuttle electrical power outlets airbus interiors
0,united,Late Flight,reply doesn good check outlets preflight moved equipment boarding malfunction
0,united,Bad Flight,15hr flight broken media system witness bounce walls remind
0,united,Late Flight,rebooked arrive hours late flight activities asked today told
0,united,Can't Tell,
4,united,,tonight fred flintstone happy upgrade class
0,united,Flight Booking Problems,strand houston tomorrow morning pretty overflight booking problems maintenance fault
0,united,Customer Service Issue,costumer service today providence airport sucked recommend airline learn check weather honest
0,united,Bad Flight,fire refused flight boarding pass seat full explanation complaint
4,united,,great start
0,united,Flight Attendant Complaints,damn fucking crew till hour half flight time bullshit
0,united,Flight Attendant Complaints,culture problem work blamed told short staffed
0,united,Can't Tell,sucks
0,united,Cancelled Flight,understand plane full till departure unacceptable phoenix
0,united,Can't Tell,honestly ruining fucking life
0,united,longlines,flight cancelled flightled stranded waiting 2hrs customer service shout diligent agents
4,united,,arranged move earlier flight gate seat assignment super nice agent gate
0,united,Can't Tell,quality work going
0,united,Lost Luggage,customer service confirm info ruined events today
0,united,Can't Tell,help millions customers treated garbage coincidence ranked worst airline
0,united,Customer Service Issue,landing 930pm night spoke baggage claim customer service reps finally spoke amazing ticket agent
0,united,Bad Flight,charging 6500 flight egregious charging adams draft united club usurious
4,united,,explaining
0,united,Customer Service Issue,social listening capabilities awful reply context mentioned
0,united,Customer Service Issue,follow will phone call
4,united,,hour wait issue resolved contact customer service comment wait time contacting
4,united,,fixed broken ramp
0,united,Late Flight,flight ua1750 basically prison runway 6delays 4hrs sitting water answers reminded hate airline
4,united,,
0,united,Lost Luggage,final carrier doesnt claim clothes
0,united,longlines,seriously bags intl arvls carousel custs cancelled flightled connects understand irrops ridiculous
0,united,Late Flight,terrible flight experience happening flight ua1750 delays total missed flights thnx
0,united,Lost Luggage,claim 4016688561
0,united,Can't Tell,failed uncontrollably today repair livid absolute disregard operations
0,united,Lost Luggage,friend traveled ua1470 today luggage recourse person clothes reimbursed
0,united,Flight Booking Problems,kicked error message purchase flight
0,united,Can't Tell,culture issue
0,united,Customer Service Issue,wouldn rebook waste time poor communication
0,united,Late Flight,flight late flight mechanical issues flights days
0,united,Flight Attendant Complaints,employees happy delivery terrible customer service
0,united,Cancelled Flight,2015 flight major city cancelled flightled hours departure weather backup planes
4,united,,kurt crew ua1745 amazing today birthday kindness hope
0,united,Customer Service Issue,hold phone well half hour waiting reservation change wanted online help
0,united,Cancelled Flight,wait plane ottawa tomorrow suitcase lost
0,united,Customer Service Issue,glad solve prob experience remains will
0,united,Cancelled Flight,cancelled flighted flight supposed plane plane destination
0,united,longlines,appreciate early arrival ua1002 chance will bring bags
0,united,Damaged Luggage,broken luggage mild case food poisoning lhriah email
0,united,Can't Tell,filled hope responds book trip
0,united,Cancelled Flight,friends sitting houston flight cancelled flighted answers 10voucherwhatajoke
0,united,Customer Service Issue,meant changed planes hate seating wing wanted booked will formal complaint
0,united,Flight Booking Problems,guys changed ages double booked seats platinum person
0,united,Customer Service Issue,havenâ havenâ time checked spam junk mail caseâ
0,united,Customer Service Issue,sloppy stuff united raised expectations team poor
0,united,Customer Service Issue,long response customer service complaint email
0,united,Can't Tell,tagging people backing aisle front bags
0,united,Flight Attendant Complaints,cabin crew huge offenders stood conversational cluster blocking exiting passengers
0,united,Bad Flight,allowing passengers flight block exit plane
0,united,Flight Attendant Complaints,wheelchairs
0,united,Can't Tell,commitment good turnaround operations counted dozen small issues individual performance
0,united,Late Flight,nightmare continues
0,united,Customer Service Issue,team mins turnaround
4,united,,miler flying week observe gate flight crews committed good operations
0,united,Customer Service Issue,call wait times minutes airport wait times longer
4,united,,
0,united,Customer Service Issue,waiting hours help
4,united,,compensating lost bags will
0,united,Late Flight,sitting runway hours ridiculous
0,united,Customer Service Issue,service pretty ruined weak attempt
0,united,Bad Flight,forgot flight coming allowing connection
0,united,Can't Tell,deodorant shampoo toothpaste limited 70oz correct
0,united,Bad Flight,forced check rollaboard plenty room overhead seat
0,united,Customer Service Issue,membership
0,united,Cancelled Flight,economy seat awful cancelled flighted flights lots planning
0,united,Flight Attendant Complaints,weather blame hold speak agent doesn understand concept time zones
0,united,Bad Flight,system seat economy econ seat seat
4,united,,asked boyfriend prom loudspeaker flight best
0,united,Customer Service Issue,yepâ case numbers assigned againget screen œthank submitting requestâ
0,united,Bad Flight,moved seats lost upgrade seat ticket hand
4,united,,appreciated
4,united,,hmmm changed
4,united,,problem follow
0,united,Customer Service Issue,help appreciated looong wait help fault
0,united,Cancelled Flight,husband supposed leaving hours cancelled flighted flight wait phone
0,united,Can't Tell,satisfactory airline fails disappoint
4,united,,flight amazing best flight kidding service incredible
0,united,Customer Service Issue,call customer care customer care
0,united,Cancelled Flight,charge making decisions cancelled flightling flight ua1150 unacceptable
0,united,Can't Tell,doesn happen flyers provide feedback
4,united,,upgrade class nice earlier mistake
0,united,Bad Flight,plowing snow gate plane arrives minutes flight fail
4,united,,rhonda atlanta airport redeemed guys straightened
0,united,Can't Tell,experience family terrible experience kind robbed explain
0,united,Lost Luggage,great losing bags direct flight manage
0,united,Customer Service Issue,worst customer service denver
0,united,Bad Flight,ruined start trip legs changed lost paid upgrade class seat moved econ econ
0,united,Late Flight,board movement experience worse worse
0,united,Flight Attendant Complaints,employee gate 15min boarding expect customers competent company rivals
0,united,Can't Tell,wonder cabin filthy
0,united,Flight Attendant Complaints,asked stewardess disinfectant wipe trash hands
0,united,Can't Tell,better airline
0,united,Cancelled Flight,flight cancelled flightled mechanical issues fare weather help
4,united,,connection delayed
0,united,Can't Tell,luckily disinfectant wipes
0,united,Bad Flight,clean food coffee stains area seats passengers aboard gross
4,united,,cldnt happier plastic wing pins flight love amazing staff nice
0,united,Bad Flight,help invest planes people stock buybacks executive disappoint
0,united,Cancelled Flight,flight cancelled flightled love snowy drive substitutes
0,united,Customer Service Issue,crazy long form video
0,united,Can't Tell,hope issue return flight tomorrow
0,united,Cancelled Flight,flight cancelled flightled ridiculous
0,united,Customer Service Issue,shouldn head best call 1800 hold mins
4,united,,reply better seat munich nice
0,united,Customer Service Issue,appreciate hold 20min hung requesting help group
0,united,Can't Tell,reply frustration spending upgrade puts wait list
0,united,Damaged Luggage,staff throwing luggage
0,united,Late Flight,stranded flying orleans huston tonight will stuck days wait
0,united,Bad Flight,hello flying class people zone pass dept board class
4,united,,care reflight booking problems flight
0,united,Customer Service Issue,deal person cowardly customer service looked eyes
0,united,Flight Attendant Complaints,nope called lost seating preference paid flight late flightr
0,united,Late Flight,stuck denver engine shut terminal flights
4,united,,check appreciate response
0,united,Cancelled Flight,1427 cancelled flightled moved figure rental changes
0,united,Bad Flight,troubling news time raise legroom
4,united,,1632 phenomenal gate gate
4,united,,hopefully easily resolved
0,united,Cancelled Flight,terrible travel experience traveled 8000 miles roundtrip cancelled flightlations short hops cost days
0,united,Customer Service Issue,charging people freaking flight
0,united,Late Flight,flight delayed scheduled arrive connection departs options
0,united,Can't Tell,company values customer reading tweets feels
0,united,Can't Tell,insulted disrespected incompetence turn voucher domestic round trip
0,united,Cancelled Flight,cancelled flightled united airlines operating friend stuck intl flight help
0,united,Can't Tell,well customers frustrated compensate appropriately screw royally
4,united,,will
0,united,Customer Service Issue,employees angriest angstiest group people tasha checkin
0,united,Can't Tell,doubtful united will traveling sales manager covering north america
4,united,,finally threatened send vegas coach thnx
0,united,Customer Service Issue,worst customer nonservice
0,united,Can't Tell,worst airline
0,united,Flight Attendant Complaints,employees good service kind attitude customers vital kind business
0,united,longlines,assistance door travelling kids
0,united,Flight Attendant Complaints,friend hare flight proof bought class boarding pass
4,united,,smile today award computers sense humour
0,united,longlines,tropic pedro door elected appointed hacks
0,united,Flight Booking Problems,mileage policy awful paid united miles difference
0,united,Late Flight,assure aircraft coming denver left previous destination flight 3618
0,united,Can't Tell,refund ticket email address happened
0,united,Can't Tell,speak jimmy samartzis survey email awful flight
0,united,Late Flight,delayed pedro belize scheduled belize city houston will wait
0,united,Customer Service Issue,hello united care call center mexico city office terrible attitude lady helping
0,united,Customer Service Issue,great guessing late flight open service horrible overcharging care miserable
0,united,Late Flight,unbelievably disappointed delay delay messing life
0,united,Customer Service Issue,great flattering story
0,united,Cancelled Flight,snowy roads called mileageplus told flight cancelled flighted hours rcvd notification help
0,united,Can't Tell,interviewed yesterday flight attendant person recruiter lost file interview
0,united,Cancelled Flight,remember business pleasant experience will friend experience will
0,united,Bad Flight,assure travel time 4h2m 5h2m
0,united,Lost Luggage,bums lose biggest flight
0,united,Can't Tell,airlines cable internet
0,united,Customer Service Issue,customers customer service
0,united,Bad Flight,great decision making skills flight minute connection flight pushed early disappointed
